,,,,,,,,
Health Block Name,Format Type,Facility Name,Ownership,M2 [Deliveries],Rating,Total Reviews,Latitude,Longitude
,,,,2.2. :: Number of Institutional Deliveries conducted (Including C-Sections),,,,
,,,,,,,,
Gohana,PHC Format,Jeevan jyoti Hospital,Private,746,4.2,22,29.1378,76.6896
Kharkhoda,PHC Format,JIWANI HOSPITAL,Private,656,4.5,43,28.8758,76.9102
SONIPAT URBAN,PHC Format,BLESSING HOSPITAL,Private,570,4.1,93,29.0054,77.0049
Gohana,PHC Format,ABHISHEK MEMORIAL HOSPITAL,Private,561,4.4,180,29.1340,76.6940
Gannaur,PHC Format,DEEP JYOTI NURSING HOME,Private,490,4.3,23,29.1341,77.0180
Gohana,PHC Format,SHIV SANJIVANI NURSING HOME,Private,420,,,29.1378,76.6896
SONIPAT URBAN,PHC Format,MUKHI HOSPITAL,Private,397,3.9,55,28.9998,77.0215
SONIPAT URBAN,DH Format,FIMS HOSPITAL,Private,367,4.4,2416,28.9724,77.0687
SONIPAT URBAN,PHC Format,BHARAT HOSPITAL,Private,310,4.9,98,28.9920,77.0343
SONIPAT URBAN,SDH Format,Saxena Multi-Speciality Hospital,Private,308,4.5,595,28.9943,77.0270
SONIPAT URBAN,PHC Format,NEST HOSPITAL,Private,297,4.2,410,28.9960,77.0260
SONIPAT URBAN,DH Format,TULIP HOSPITAL,Private,278,4.2,1752,28.9943,77.0270
Gannaur,PHC Format,AGGARWAL HOSPITAL,Private,277,4.1,8,29.1341,77.0180
SONIPAT URBAN,PHC Format,KrishnaWati Hospital,Private,276,4.1,144,29.0006,77.0096
Gannaur,PHC Format,VIDYA DEVI MEMORIAL,Private,269,3.9,33,29.1341,77.0175
SONIPAT URBAN,PHC Format,GIRDHAR HOSPITAL,Private,244,4.4,346,28.9960,77.0259
Gohana,PHC Format,SARASWATI HOSPITAL,Private,225,,,29.1378,76.6896
SONIPAT URBAN,PHC Format,Patil Nursing Home,Private,187,3.0,91,28.9970,77.0280
Gannaur,PHC Format,SITA HOSPITAL,Private,180,4.8,95,29.1341,77.0175
SONIPAT URBAN,PHC Format,BANSAL NURSING HOME,Private,169,4.8,645,29.0005,77.0303
SONIPAT URBAN,PHC Format,BANSAL HEALTH SQUARE AND IVF CENTER,Private,162,4.8,645,29.0005,77.0303
SONIPAT URBAN,PHC Format,Darya Ram Hospital,Private,151,4.2,93,29.0027,77.0265
Gohana,PHC Format,KALADEEP NURSING AND MATERNITY HOME,Private,140,,,29.1378,76.6896
SONIPAT URBAN,SDH Format,BHAGWAN DASS HOSPITAL,Private,135,3.7,335,28.9904,77.0346
SONIPAT URBAN,PHC Format,Titan Hospital,Private,127,4.3,20,28.9920,77.0230
